SL_NO,RESERVOIR,YEAR,WEEK_NO,FLOW_DATE,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS,UNIQUE_KEY
226,Kabini,2011,3,2011-01-21,16.56,2279.14,252,50,KABINI-2011-01-21
227,Kabini,2011,3,2011-01-20,16.54,2279.12,318,50,KABINI-2011-01-20
312,Kabini,2011,4,2011-01-22,16.57,2279.16,252,50,KABINI-2011-01-22
313,Kabini,2011,4,2011-01-23,16.58,2279.18,252,50,KABINI-2011-01-23
314,Kabini,2011,4,2011-01-24,16.59,2279.20,252,50,KABINI-2011-01-24
315,Kabini,2011,4,2011-01-25,16.60,2279.22,252,50,KABINI-2011-01-25
316,Kabini,2011,4,2011-01-26,16.61,2279.24,186,50,KABINI-2011-01-26
317,Kabini,2011,4,2011-01-27,16.61,2279.24,186,50,KABINI-2011-01-27
318,Kabini,2011,4,2011-01-28,16.55,2279.13,225,881,KABINI-2011-01-28
403,Kabini,2011,5,2011-01-29,16.47,2278.99,148,1000,KABINI-2011-01-29
404,Kabini,2011,5,2011-01-30,16.41,2278.89,150,725,KABINI-2011-01-30
405,Kabini,2011,5,2011-01-31,16.36,2278.79,125,700,KABINI-2011-01-31
406,Kabini,2011,5,2011-02-01,16.30,2278.69,125,700,KABINI-2011-02-01
407,Kabini,2011,5,2011-02-02,16.25,2278.59,128,700,KABINI-2011-02-02
408,Kabini,2011,5,2011-02-03,16.19,2278.49,128,700,KABINI-2011-02-03
409,Kabini,2011,5,2011-02-04,16.19,2278.48,139,131,KABINI-2011-02-04
494,Kabini,2011,6,2011-02-05,16.19,2278.48,123,50,KABINI-2011-02-05
495,Kabini,2011,6,2011-02-06,16.19,2278.48,123,50,KABINI-2011-02-06
496,Kabini,2011,6,2011-02-07,16.19,2278.48,123,50,KABINI-2011-02-07
497,Kabini,2011,6,2011-02-08,16.19,2278.48,123,50,KABINI-2011-02-08
498,Kabini,2011,6,2011-02-09,16.19,2278.48,123,50,KABINI-2011-02-09
499,Kabini,2011,6,2011-02-10,16.19,2278.48,123,50,KABINI-2011-02-10
500,Kabini,2011,6,2011-02-11,16.15,2278.42,119,433,KABINI-2011-02-11
585,Kabini,2011,7,2011-02-12,16.09,2278.31,114,750,KABINI-2011-02-12
586,Kabini,2011,7,2011-02-13,16.03,2278.20,114,750,KABINI-2011-02-13
587,Kabini,2011,7,2011-02-14,15.97,2278.09,133,770,KABINI-2011-02-14
588,Kabini,2011,7,2011-02-15,15.91,2277.98,134,770,KABINI-2011-02-15
589,Kabini,2011,7,2011-02-16,15.85,2277.87,138,770,KABINI-2011-02-16
590,Kabini,2011,7,2011-02-17,15.79,2277.76,138,770,KABINI-2011-02-17
591,Kabini,2011,7,2011-02-18,15.73,2277.65,138,770,KABINI-2011-02-18
676,Kabini,2011,8,2011-02-19,15.67,2277.55,115,683,KABINI-2011-02-19
677,Kabini,2011,8,2011-02-20,15.61,2277.45,102,670,KABINI-2011-02-20
678,Kabini,2011,8,2011-02-21,15.56,2277.35,102,670,KABINI-2011-02-21
679,Kabini,2011,8,2011-02-22,15.50,2277.25,101,670,KABINI-2011-02-22
680,Kabini,2011,8,2011-02-23,15.45,2277.15,101,670,KABINI-2011-02-23
681,Kabini,2011,8,2011-02-24,15.39,2277.05,101,670,KABINI-2011-02-24
682,Kabini,2011,8,2011-02-25,15.32,2276.92,114,870,KABINI-2011-02-25
767,Kabini,2011,9,2011-02-26,15.20,2276.69,341,1728,KABINI-2011-02-26
768,Kabini,2011,9,2011-02-27,15.06,2276.45,345,1795,KABINI-2011-02-27
769,Kabini,2011,9,2011-02-28,14.96,2276.26,170,1303,KABINI-2011-02-28
770,Kabini,2011,9,2011-03-01,14.86,2276.07,137,1207,KABINI-2011-03-01
771,Kabini,2011,9,2011-03-02,14.72,2275.82,107,1563,KABINI-2011-03-02
772,Kabini,2011,9,2011-03-03,14.57,2275.55,102,1680,KABINI-2011-03-03
773,Kabini,2011,9,2011-03-04,14.43,2275.28,102,1680,KABINI-2011-03-04
858,Kabini,2011,10,2011-03-05,14.43,2275.28,102,1680,KABINI-2011-03-05
859,Kabini,2011,10,2011-03-06,14.11,2274.70,127,1880,KABINI-2011-03-06
860,Kabini,2011,10,2011-03-07,13.95,2274.40,127,1880,KABINI-2011-03-07
861,Kabini,2011,10,2011-03-08,13.80,2274.11,102,1793,KABINI-2011-03-08
862,Kabini,2011,10,2011-03-09,13.64,2273.82,98,1780,KABINI-2011-03-09
863,Kabini,2011,10,2011-03-10,13.49,2273.53,102,1780,KABINI-2011-03-10
864,Kabini,2011,10,2011-03-11,13.34,2273.25,103,1720,KABINI-2011-03-11
949,Kabini,2011,11,2011-03-12,13.19,2272.97,70,1683,KABINI-2011-03-12
950,Kabini,2011,11,2011-03-13,13.05,2272.70,83,1600,KABINI-2011-03-13
951,Kabini,2011,11,2011-03-14,12.91,2272.43,82,1600,KABINI-2011-03-14
952,Kabini,2011,11,2011-03-15,12.76,2272.16,82,1600,KABINI-2011-03-15
953,Kabini,2011,11,2011-03-16,12.62,2271.88,83,1640,KABINI-2011-03-16
954,Kabini,2011,11,2011-03-17,12.47,2271.59,54,1640,KABINI-2011-03-17
955,Kabini,2011,11,2011-03-18,12.33,2271.30,53,1640,KABINI-2011-03-18
1040,Kabini,2011,12,2011-03-19,12.18,2271.01,52,1640,KABINI-2011-03-19
1041,Kabini,2011,12,2011-03-20,12.04,2270.73,46,1540,KABINI-2011-03-20
1042,Kabini,2011,12,2011-03-21,11.91,2270.47,61,1440,KABINI-2011-03-21
1043,Kabini,2011,12,2011-03-22,11.79,2270.21,61,1440,KABINI-2011-03-22
1044,Kabini,2011,12,2011-03-23,11.66,2269.95,67,1440,KABINI-2011-03-23
1045,Kabini,2011,12,2011-03-24,11.58,2269.78,47,890,KABINI-2011-03-24
1046,Kabini,2011,12,2011-03-25,11.49,2269.61,46,890,KABINI-2011-03-25
1131,Kabini,2011,13,2011-03-26,11.48,2269.59,44,50,KABINI-2011-03-26
1132,Kabini,2011,13,2011-03-27,11.47,2269.57,44,50,KABINI-2011-03-27
1133,Kabini,2011,13,2011-03-28,11.46,2269.55,44,50,KABINI-2011-03-28
1134,Kabini,2011,13,2011-03-29,11.46,2269.55,44,50,KABINI-2011-03-29
1135,Kabini,2011,13,2011-03-30,11.45,2269.51,43,50,KABINI-2011-03-30
1136,Kabini,2011,13,2011-03-31,11.41,2269.43,39,381,KABINI-2011-03-31
1137,Kabini,2011,13,2011-04-01,11.35,2269.31,35,600,KABINI-2011-04-01
1222,Kabini,2011,14,2011-04-02,11.29,2269.19,69,600,KABINI-2011-04-02
1223,Kabini,2011,14,2011-04-03,11.17,2268.93,45,1350,KABINI-2011-04-03
1224,Kabini,2011,14,2011-04-04,11.06,2268.71,48,1113,KABINI-2011-04-04
1225,Kabini,2011,14,2011-04-05,10.96,2268.50,39,1050,KABINI-2011-04-05
1226,Kabini,2011,14,2011-04-06,10.85,2268.25,45,1075,KABINI-2011-04-06
