SL_NO,RESERVOIR,YEAR,WEEK_NO,FLOW_DATE,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS,UNIQUE_KEY
44,Hemavathi,2011,1,2011-01-01,31.60,2916.07,981,2001,HEMAVATHI-2011-01-01
45,Hemavathi,2011,1,2011-01-02,31.50,2915.95,849,1950,HEMAVATHI-2011-01-02
46,Hemavathi,2011,1,2011-01-03,31.39,2915.82,782,1950,HEMAVATHI-2011-01-03
47,Hemavathi,2011,1,2011-01-04,31.34,2915.77,695,1075,HEMAVATHI-2011-01-04
48,Hemavathi,2011,1,2011-01-05,31.34,2915.77,661,550,HEMAVATHI-2011-01-05
49,Hemavathi,2011,1,2011-01-06,31.33,2915.75,564,650,HEMAVATHI-2011-01-06
50,Hemavathi,2011,1,2011-01-07,31.30,2915.72,566,750,HEMAVATHI-2011-01-07
128,Hemavathi,2011,2,2011-01-08,31.27,2915.69,566,750,HEMAVATHI-2011-01-08
129,Hemavathi,2011,2,2011-01-09,31.27,2915.68,613,600,HEMAVATHI-2011-01-09
130,Hemavathi,2011,2,2011-01-10,31.26,2915.67,612,600,HEMAVATHI-2011-01-10
131,Hemavathi,2011,2,2011-01-11,31.23,2915.64,684,866,HEMAVATHI-2011-01-11
132,Hemavathi,2011,2,2011-01-12,31.21,2915.61,469,454,HEMAVATHI-2011-01-12
133,Hemavathi,2011,2,2011-01-13,31.21,2915.61,469,454,HEMAVATHI-2011-01-13
134,Hemavathi,2011,2,2011-01-14,31.20,2915.60,365,350,HEMAVATHI-2011-01-14
212,Hemavathi,2011,3,2011-01-15,31.18,2915.58,266,350,HEMAVATHI-2011-01-15
213,Hemavathi,2011,3,2011-01-16,31.16,2915.56,266,350,HEMAVATHI-2011-01-16
214,Hemavathi,2011,3,2011-01-17,31.15,2915.54,269,350,HEMAVATHI-2011-01-17
215,Hemavathi,2011,3,2011-01-18,31.12,2915.51,170,350,HEMAVATHI-2011-01-18
216,Hemavathi,2011,3,2011-01-19,31.11,2915.50,209,192,HEMAVATHI-2011-01-19
217,Hemavathi,2011,3,2011-01-20,31.10,2915.49,167,150,HEMAVATHI-2011-01-20
218,Hemavathi,2011,3,2011-01-21,31.10,2915.48,167,150,HEMAVATHI-2011-01-21
298,Hemavathi,2011,4,2011-01-22,31.09,2915.47,187,150,HEMAVATHI-2011-01-22
299,Hemavathi,2011,4,2011-01-23,31.08,2915.46,167,150,HEMAVATHI-2011-01-23
300,Hemavathi,2011,4,2011-01-24,31.07,2915.45,169,150,HEMAVATHI-2011-01-24
301,Hemavathi,2011,4,2011-01-25,31.06,2915.44,171,150,HEMAVATHI-2011-01-25
302,Hemavathi,2011,4,2011-01-26,31.04,2915.42,171,150,HEMAVATHI-2011-01-26
303,Hemavathi,2011,4,2011-01-27,31.04,2915.42,171,150,HEMAVATHI-2011-01-27
304,Hemavathi,2011,4,2011-01-28,31.04,2915.41,171,150,HEMAVATHI-2011-01-28
389,Hemavathi,2011,5,2011-01-29,31.03,2915.40,171,150,HEMAVATHI-2011-01-29
390,Hemavathi,2011,5,2011-01-30,31.02,2915.39,171,150,HEMAVATHI-2011-01-30
391,Hemavathi,2011,5,2011-01-31,31.01,2915.38,169,150,HEMAVATHI-2011-01-31
392,Hemavathi,2011,5,2011-02-01,31,2915.37,169,150,HEMAVATHI-2011-02-01
393,Hemavathi,2011,5,2011-02-02,30.99,2915.36,168,150,HEMAVATHI-2011-02-02
394,Hemavathi,2011,5,2011-02-03,30.99,2915.35,171,150,HEMAVATHI-2011-02-03
395,Hemavathi,2011,5,2011-02-04,30.98,2915.34,173,150,HEMAVATHI-2011-02-04
480,Hemavathi,2011,6,2011-02-05,30.97,2915.33,173,150,HEMAVATHI-2011-02-05
481,Hemavathi,2011,6,2011-02-06,30.96,2915.32,175,150,HEMAVATHI-2011-02-06
482,Hemavathi,2011,6,2011-02-07,30.95,2915.31,175,150,HEMAVATHI-2011-02-07
483,Hemavathi,2011,6,2011-02-08,30.94,2915.30,178,150,HEMAVATHI-2011-02-08
484,Hemavathi,2011,6,2011-02-09,30.93,2915.29,177,150,HEMAVATHI-2011-02-09
485,Hemavathi,2011,6,2011-02-10,30.93,2915.28,180,150,HEMAVATHI-2011-02-10
486,Hemavathi,2011,6,2011-02-11,30.92,2915.27,217,187,HEMAVATHI-2011-02-11
571,Hemavathi,2011,7,2011-02-12,30.79,2915.12,152,1500,HEMAVATHI-2011-02-12
572,Hemavathi,2011,7,2011-02-13,30.66,2914.97,154,1500,HEMAVATHI-2011-02-13
573,Hemavathi,2011,7,2011-02-14,30.53,2914.82,156,1500,HEMAVATHI-2011-02-14
574,Hemavathi,2011,7,2011-02-15,30.41,2914.67,155,1500,HEMAVATHI-2011-02-15
575,Hemavathi,2011,7,2011-02-16,30.28,2914.52,157,1500,HEMAVATHI-2011-02-16
576,Hemavathi,2011,7,2011-02-17,30.09,2914.30,134,2166,HEMAVATHI-2011-02-17
577,Hemavathi,2011,7,2011-02-18,29.88,2914.05,122,2450,HEMAVATHI-2011-02-18
662,Hemavathi,2011,8,2011-02-19,29.67,2913.79,168,2500,HEMAVATHI-2011-02-19
663,Hemavathi,2011,8,2011-02-20,29.38,2913.44,144,3300,HEMAVATHI-2011-02-20
664,Hemavathi,2011,8,2011-02-21,29.11,2913.10,138,3200,HEMAVATHI-2011-02-21
665,Hemavathi,2011,8,2011-02-22,28.84,2912.77,180,3150,HEMAVATHI-2011-02-22
666,Hemavathi,2011,8,2011-02-23,28.56,2912.43,186,3250,HEMAVATHI-2011-02-23
667,Hemavathi,2011,8,2011-02-24,28.26,2912.06,155,3500,HEMAVATHI-2011-02-24
668,Hemavathi,2011,8,2011-02-25,27.96,2911.67,125,3500,HEMAVATHI-2011-02-25
753,Hemavathi,2011,9,2011-02-26,27.66,2911.28,152,3500,HEMAVATHI-2011-02-26
754,Hemavathi,2011,9,2011-02-27,27.36,2910.89,151,3500,HEMAVATHI-2011-02-27
755,Hemavathi,2011,9,2011-02-28,27.06,2910.50,150,3500,HEMAVATHI-2011-02-28
756,Hemavathi,2011,9,2011-03-01,26.76,2910.11,151,3500,HEMAVATHI-2011-03-01
757,Hemavathi,2011,9,2011-03-02,26.46,2909.71,167,3500,HEMAVATHI-2011-03-02
758,Hemavathi,2011,9,2011-03-03,26.16,2909.30,121,3500,HEMAVATHI-2011-03-03
759,Hemavathi,2011,9,2011-03-04,25.86,2908.89,120,3500,HEMAVATHI-2011-03-04
844,Hemavathi,2011,10,2011-03-05,25.86,2908.89,120,3500,HEMAVATHI-2011-03-05
845,Hemavathi,2011,10,2011-03-06,25.25,2908.07,120,3500,HEMAVATHI-2011-03-06
846,Hemavathi,2011,10,2011-03-07,24.95,2907.65,125,3500,HEMAVATHI-2011-03-07
847,Hemavathi,2011,10,2011-03-08,24.64,2907.22,64,3500,HEMAVATHI-2011-03-08
848,Hemavathi,2011,10,2011-03-09,24.33,2906.79,63,3500,HEMAVATHI-2011-03-09
849,Hemavathi,2011,10,2011-03-10,24.02,2906.36,62,3500,HEMAVATHI-2011-03-10
850,Hemavathi,2011,10,2011-03-11,23.72,2905.93,76,3500,HEMAVATHI-2011-03-11
935,Hemavathi,2011,11,2011-03-12,23.41,2905.49,60,3500,HEMAVATHI-2011-03-12
936,Hemavathi,2011,11,2011-03-13,23.12,2905.07,96,3375,HEMAVATHI-2011-03-13
937,Hemavathi,2011,11,2011-03-14,22.82,2904.64,51,3375,HEMAVATHI-2011-03-14
938,Hemavathi,2011,11,2011-03-15,22.56,2904.27,38,2875,HEMAVATHI-2011-03-15
939,Hemavathi,2011,11,2011-03-16,22.31,2903.90,79,2900,HEMAVATHI-2011-03-16
940,Hemavathi,2011,11,2011-03-17,22.06,2903.54,92,2800,HEMAVATHI-2011-03-17
941,Hemavathi,2011,11,2011-03-18,21.80,2903.16,34,2900,HEMAVATHI-2011-03-18
1026,Hemavathi,2011,12,2011-03-19,21.55,2902.78,83,2950,HEMAVATHI-2011-03-19
1027,Hemavathi,2011,12,2011-03-20,21.29,2902.40,83,2950,HEMAVATHI-2011-03-20
1028,Hemavathi,2011,12,2011-03-21,21.03,2902.02,107,2950,HEMAVATHI-2011-03-21
1029,Hemavathi,2011,12,2011-03-22,20.78,2901.64,43,2850,HEMAVATHI-2011-03-22
1030,Hemavathi,2011,12,2011-03-23,20.52,2901.26,46,2850,HEMAVATHI-2011-03-23
1031,Hemavathi,2011,12,2011-03-24,20.20,2900.78,75,3650,HEMAVATHI-2011-03-24
