SL_NO,RESERVOIR,YEAR,WEEK_NO,FLOW_DATE,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS,UNIQUE_KEY
51,K.R.S,2011,1,2011-01-01,46.42,122.59,2029,2000,K.R.S-2011-01-01
52,K.R.S,2011,1,2011-01-02,46.54,122.68,3084,1490,K.R.S-2011-01-02
53,K.R.S,2011,1,2011-01-03,46.64,122.75,2776,1491,K.R.S-2011-01-03
54,K.R.S,2011,1,2011-01-04,46.69,122.79,2311,1491,K.R.S-2011-01-04
55,K.R.S,2011,1,2011-01-05,46.70,122.80,1847,1491,K.R.S-2011-01-05
56,K.R.S,2011,1,2011-01-06,46.74,122.83,2156,1491,K.R.S-2011-01-06
57,K.R.S,2011,1,2011-01-07,46.76,122.84,1847,1491,K.R.S-2011-01-07
135,K.R.S,2011,2,2011-01-08,46.78,122.86,2002,1491,K.R.S-2011-01-08
136,K.R.S,2011,2,2011-01-09,46.77,122.85,1537,1491,K.R.S-2011-01-09
137,K.R.S,2011,2,2011-01-10,46.74,122.83,1382,1491,K.R.S-2011-01-10
138,K.R.S,2011,2,2011-01-11,46.70,122.80,1228,1491,K.R.S-2011-01-11
139,K.R.S,2011,2,2011-01-12,46.45,122.61,1530,4272,K.R.S-2011-01-12
140,K.R.S,2011,2,2011-01-13,46.45,122.61,1530,4272,K.R.S-2011-01-13
141,K.R.S,2011,2,2011-01-14,46.13,122.37,1667,5183,K.R.S-2011-01-14
219,K.R.S,2011,3,2011-01-15,45.77,122.10,1184,5164,K.R.S-2011-01-15
220,K.R.S,2011,3,2011-01-16,45.45,121.86,1651,5123,K.R.S-2011-01-16
221,K.R.S,2011,3,2011-01-17,45.17,121.65,2103,5104,K.R.S-2011-01-17
222,K.R.S,2011,3,2011-01-18,44.95,121.48,2694,5089,K.R.S-2011-01-18
223,K.R.S,2011,3,2011-01-19,44.69,121.28,2205,5055,K.R.S-2011-01-19
224,K.R.S,2011,3,2011-01-20,44.44,121.09,2351,5049,K.R.S-2011-01-20
225,K.R.S,2011,3,2011-01-21,44.20,120.90,2347,5014,K.R.S-2011-01-21
305,K.R.S,2011,4,2011-01-22,43.94,120.70,2211,4998,K.R.S-2011-01-22
306,K.R.S,2011,4,2011-01-23,43.68,120.50,2195,4982,K.R.S-2011-01-23
307,K.R.S,2011,4,2011-01-24,43.45,120.32,2455,4946,K.R.S-2011-01-24
308,K.R.S,2011,4,2011-01-25,43.16,120.09,1709,4941,K.R.S-2011-01-25
309,K.R.S,2011,4,2011-01-26,42.59,119.64,1874,4891,K.R.S-2011-01-26
310,K.R.S,2011,4,2011-01-27,42.59,119.64,1874,4891,K.R.S-2011-01-27
311,K.R.S,2011,4,2011-01-28,42.34,119.44,2149,4618,K.R.S-2011-01-28
396,K.R.S,2011,5,2011-01-29,42.05,119.21,1682,4844,K.R.S-2011-01-29
397,K.R.S,2011,5,2011-01-30,41.79,119,1958,4830,K.R.S-2011-01-30
398,K.R.S,2011,5,2011-01-31,41.56,118.81,2277,4802,K.R.S-2011-01-31
399,K.R.S,2011,5,2011-02-01,41.30,118.60,1987,4796,K.R.S-2011-02-01
400,K.R.S,2011,5,2011-02-02,40.98,118.34,872,4404,K.R.S-2011-02-02
401,K.R.S,2011,5,2011-02-03,40.66,118.08,500,4030,K.R.S-2011-02-03
402,K.R.S,2011,5,2011-02-04,40.48,117.93,703,2639,K.R.S-2011-02-04
487,K.R.S,2011,6,2011-02-05,40.42,117.88,570,1097,K.R.S-2011-02-05
488,K.R.S,2011,6,2011-02-06,40.35,117.82,432,1097,K.R.S-2011-02-06
489,K.R.S,2011,6,2011-02-07,40.29,117.77,570,1097,K.R.S-2011-02-07
490,K.R.S,2011,6,2011-02-08,40.21,117.70,386,1191,K.R.S-2011-02-08
491,K.R.S,2011,6,2011-02-09,40.12,117.63,442,1246,K.R.S-2011-02-09
492,K.R.S,2011,6,2011-02-10,40.04,117.56,442,1246,K.R.S-2011-02-10
493,K.R.S,2011,6,2011-02-11,39.94,117.48,287,1230,K.R.S-2011-02-11
578,K.R.S,2011,7,2011-02-12,39.85,117.40,272,1215,K.R.S-2011-02-12
579,K.R.S,2011,7,2011-02-13,39.64,117.23,304,2495,K.R.S-2011-02-13
580,K.R.S,2011,7,2011-02-14,39.32,116.96,392,3957,K.R.S-2011-02-14
581,K.R.S,2011,7,2011-02-15,38.97,116.66,504,4407,K.R.S-2011-02-15
582,K.R.S,2011,7,2011-02-16,38.63,116.37,621,4388,K.R.S-2011-02-16
583,K.R.S,2011,7,2011-02-17,38.27,116.06,330,4368,K.R.S-2011-02-17
584,K.R.S,2011,7,2011-02-18,37.91,115.75,438,4401,K.R.S-2011-02-18
669,K.R.S,2011,8,2011-02-19,37.55,115.43,295,4373,K.R.S-2011-02-19
670,K.R.S,2011,8,2011-02-20,37.18,115.11,342,4420,K.R.S-2011-02-20
671,K.R.S,2011,8,2011-02-21,36.81,114.78,264,4409,K.R.S-2011-02-21
672,K.R.S,2011,8,2011-02-22,36.44,114.45,274,4387,K.R.S-2011-02-22
673,K.R.S,2011,8,2011-02-23,36.09,114.14,522,4376,K.R.S-2011-02-23
674,K.R.S,2011,8,2011-02-24,35.86,113.93,1823,4364,K.R.S-2011-02-24
675,K.R.S,2011,8,2011-02-25,35.61,113.70,1597,4353,K.R.S-2011-02-25
760,K.R.S,2011,9,2011-02-26,35.38,113.49,1839,4342,K.R.S-2011-02-26
761,K.R.S,2011,9,2011-02-27,35.13,113.26,1574,4330,K.R.S-2011-02-27
762,K.R.S,2011,9,2011-02-28,34.85,113,1187,4322,K.R.S-2011-02-28
763,K.R.S,2011,9,2011-03-01,34.51,112.69,635,4314,K.R.S-2011-03-01
764,K.R.S,2011,9,2011-03-02,34.17,112.37,500,4302,K.R.S-2011-03-02
765,K.R.S,2011,9,2011-03-03,33.83,112.05,500,4290,K.R.S-2011-03-03
766,K.R.S,2011,9,2011-03-04,33.50,111.73,565,4281,K.R.S-2011-03-04
851,K.R.S,2011,10,2011-03-05,33.50,111.73,565,4281,K.R.S-2011-03-05
852,K.R.S,2011,10,2011-03-06,33.38,111.62,1411,1014,K.R.S-2011-03-06
853,K.R.S,2011,10,2011-03-07,33.37,111.61,1041,1014,K.R.S-2011-03-07
854,K.R.S,2011,10,2011-03-08,33.37,111.61,950,914,K.R.S-2011-03-08
855,K.R.S,2011,10,2011-03-09,33.38,111.62,1191,914,K.R.S-2011-03-09
856,K.R.S,2011,10,2011-03-10,33.39,111.63,1191,914,K.R.S-2011-03-10
857,K.R.S,2011,10,2011-03-11,33.40,111.64,1240,964,K.R.S-2011-03-11
942,K.R.S,2011,11,2011-03-12,33.40,111.64,1120,964,K.R.S-2011-03-12
943,K.R.S,2011,11,2011-03-13,33.35,111.59,1017,1464,K.R.S-2011-03-13
944,K.R.S,2011,11,2011-03-14,33.14,111.39,579,2835,K.R.S-2011-03-14
945,K.R.S,2011,11,2011-03-15,32.79,111.05,260,4204,K.R.S-2011-03-15
946,K.R.S,2011,11,2011-03-16,32.43,110.70,262,4245,K.R.S-2011-03-16
947,K.R.S,2011,11,2011-03-17,32.08,110.35,270,4228,K.R.S-2011-03-17
948,K.R.S,2011,11,2011-03-18,31.72,110,254,4212,K.R.S-2011-03-18
1033,K.R.S,2011,12,2011-03-19,31.43,109.71,1028,4202,K.R.S-2011-03-19
1034,K.R.S,2011,12,2011-03-20,31.12,109.40,788,4192,K.R.S-2011-03-20
1035,K.R.S,2011,12,2011-03-21,30.77,109.04,205,4184,K.R.S-2011-03-21
1036,K.R.S,2011,12,2011-03-22,30.46,108.73,641,3974,K.R.S-2011-03-22
1037,K.R.S,2011,12,2011-03-23,30.16,108.42,638,3960,K.R.S-2011-03-23
1038,K.R.S,2011,12,2011-03-24,29.84,108.09,407,3954,K.R.S-2011-03-24
1039,K.R.S,2011,12,2011-03-25,29.57,107.80,902,3947,K.R.S-2011-03-25
1124,K.R.S,2011,13,2011-03-26,29.28,107.50,802,3934,K.R.S-2011-03-26
1125,K.R.S,2011,13,2011-03-27,29.03,107.23,1124,3928,K.R.S-2011-03-27
1126,K.R.S,2011,13,2011-03-28,28.76,106.95,1021,2922,K.R.S-2011-03-28
1127,K.R.S,2011,13,2011-03-29,0,106.64,0,0,K.R.S-2011-03-29
1128,K.R.S,2011,13,2011-03-30,28.20,106.34,625,4109,K.R.S-2011-03-30
1129,K.R.S,2011,13,2011-03-31,27.89,106,613,4097,K.R.S-2011-03-31
1130,K.R.S,2011,13,2011-04-01,27.57,105.65,587,4089,K.R.S-2011-04-01
1215,K.R.S,2011,14,2011-04-02,27.26,105.30,632,4082,K.R.S-2011-04-02
1216,K.R.S,2011,14,2011-04-03,26.92,104.92,330,4073,K.R.S-2011-04-03
1217,K.R.S,2011,14,2011-04-04,26.57,104.52,194,4068,K.R.S-2011-04-04
1218,K.R.S,2011,14,2011-04-05,26.21,104.12,189,4063,K.R.S-2011-04-05
1219,K.R.S,2011,14,2011-04-06,25.86,103.71,150,4056,K.R.S-2011-04-06
1220,K.R.S,2011,14,2011-04-07,25.51,103.30,172,4048,K.R.S-2011-04-07
1221,K.R.S,2011,14,2011-04-08,25.17,102.90,287,4041,K.R.S-2011-04-08
1306,K.R.S,2011,15,2011-04-09,24.85,102.52,547,4036,K.R.S-2011-04-09
1307,K.R.S,2011,15,2011-04-10,24.79,102.45,631,1125,K.R.S-2011-04-10
1308,K.R.S,2011,15,2011-04-11,24.74,102.39,725,1122,K.R.S-2011-04-11
1309,K.R.S,2011,15,2011-04-12,24.70,102.34,822,1122,K.R.S-2011-04-12
1310,K.R.S,2011,15,2011-04-13,24.66,102.29,822,1122,K.R.S-2011-04-13
1311,K.R.S,2011,15,2011-04-14,24.64,102.27,1111,1121,K.R.S-2011-04-14
1312,K.R.S,2011,15,2011-04-15,24.63,102.26,1207,1121,K.R.S-2011-04-15
1397,K.R.S,2011,16,2011-04-16,24.63,102.26,1304,1121,K.R.S-2011-04-16
1398,K.R.S,2011,16,2011-04-17,24.67,102.30,1691,1121,K.R.S-2011-04-17
1399,K.R.S,2011,16,2011-04-18,24.72,102.36,1885,1122,K.R.S-2011-04-18
1400,K.R.S,2011,16,2011-04-19,24.63,102.25,1530,2400,K.R.S-2011-04-19
1401,K.R.S,2011,16,2011-04-20,24.36,101.93,943,3827,K.R.S-2011-04-20
1402,K.R.S,2011,16,2011-04-21,24.12,101.63,1186,3825,K.R.S-2011-04-21
1403,K.R.S,2011,16,2011-04-22,24.01,101.50,2787,3824,K.R.S-2011-04-22
1488,K.R.S,2011,17,2011-04-23,24.17,101.70,4701,2628,K.R.S-2011-04-23
1489,K.R.S,2011,17,2011-04-24,24.42,102,3586,570,K.R.S-2011-04-24
1490,K.R.S,2011,17,2011-04-25,24.71,102.35,4146,571,K.R.S-2011-04-25
1491,K.R.S,2011,17,2011-04-26,24.88,102.55,2802,676,K.R.S-2011-04-26
1492,K.R.S,2011,17,2011-04-27,24.96,102.65,1840,680,K.R.S-2011-04-27
1493,K.R.S,2011,17,2011-04-28,25.04,102.75,1840,680,K.R.S-2011-04-28
1494,K.R.S,2011,17,2011-04-29,25.11,102.83,1647,681,K.R.S-2011-04-29
1579,K.R.S,2011,18,2011-04-30,25.17,102.90,1551,681,K.R.S-2011-04-30
1580,K.R.S,2011,18,2011-05-01,25.02,102.72,1719,3247,K.R.S-2011-05-01
1581,K.R.S,2011,18,2011-05-02,24.88,102.55,1815,3246,K.R.S-2011-05-02
1582,K.R.S,2011,18,2011-05-03,24.73,102.37,2112,3640,K.R.S-2011-05-03
1583,K.R.S,2011,18,2011-05-04,24.53,102.13,1894,4001,K.R.S-2011-05-04
1584,K.R.S,2011,18,2011-05-05,24.30,101.85,1783,4244,K.R.S-2011-05-05
1585,K.R.S,2011,18,2011-05-06,24.04,101.54,1526,4241,K.R.S-2011-05-06
1670,K.R.S,2011,19,2011-05-07,23.72,101.14,870,4433,K.R.S-2011-05-07
1671,K.R.S,2011,19,2011-05-08,23.36,100.70,554,4426,K.R.S-2011-05-08
1672,K.R.S,2011,19,2011-05-09,22.99,100.23,303,4419,K.R.S-2011-05-09
1673,K.R.S,2011,19,2011-05-10,22.62,99.75,312,4464,K.R.S-2011-05-10
1674,K.R.S,2011,19,2011-05-11,22.24,99.26,266,4456,K.R.S-2011-05-11
1675,K.R.S,2011,19,2011-05-12,21.86,98.77,308,4447,K.R.S-2011-05-12
1676,K.R.S,2011,19,2011-05-13,21.47,98.25,187,4531,K.R.S-2011-05-13
1761,K.R.S,2011,20,2011-05-14,21.08,97.72,156,4525,K.R.S-2011-05-14
1762,K.R.S,2011,20,2011-05-15,20.71,97.22,459,4518,K.R.S-2011-05-15
1763,K.R.S,2011,20,2011-05-16,20.33,96.70,348,4512,K.R.S-2011-05-16
1764,K.R.S,2011,20,2011-05-17,19.98,96.21,630,4506,K.R.S-2011-05-17
