SL_NO,RESERVOIR,YEAR,WEEK_NO,FLOW_DATE,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS,UNIQUE_KEY
37,Harangi,2011,1,2011-01-01,3.74,2835.90,142,0,HARANGI-2011-01-01
38,Harangi,2011,1,2011-01-02,3.76,2836.09,239,0,HARANGI-2011-01-02
39,Harangi,2011,1,2011-01-03,3.77,2836.22,166,0,HARANGI-2011-01-03
40,Harangi,2011,1,2011-01-04,3.78,2836.31,118,0,HARANGI-2011-01-04
41,Harangi,2011,1,2011-01-05,3.79,2836.41,130,0,HARANGI-2011-01-05
42,Harangi,2011,1,2011-01-06,3.81,2836.54,167,0,HARANGI-2011-01-06
43,Harangi,2011,1,2011-01-07,3.82,2836.63,118,0,HARANGI-2011-01-07
121,Harangi,2011,2,2011-01-08,3.83,2836.73,131,0,HARANGI-2011-01-08
122,Harangi,2011,2,2011-01-09,3.84,2836.81,112,0,HARANGI-2011-01-09
123,Harangi,2011,2,2011-01-10,3.85,2836.93,160,0,HARANGI-2011-01-10
124,Harangi,2011,2,2011-01-11,3.86,2837.06,172,0,HARANGI-2011-01-11
125,Harangi,2011,2,2011-01-12,3.88,2837.23,100,0,HARANGI-2011-01-12
126,Harangi,2011,2,2011-01-13,3.88,2837.23,100,0,HARANGI-2011-01-13
127,Harangi,2011,2,2011-01-14,3.89,2837.30,100,0,HARANGI-2011-01-14
205,Harangi,2011,3,2011-01-15,3.89,2837.37,100,0,HARANGI-2011-01-15
206,Harangi,2011,3,2011-01-16,3.90,2837.45,112,0,HARANGI-2011-01-16
207,Harangi,2011,3,2011-01-17,3.91,2837.52,100,0,HARANGI-2011-01-17
208,Harangi,2011,3,2011-01-18,3.92,2837.61,124,0,HARANGI-2011-01-18
209,Harangi,2011,3,2011-01-19,3.93,2837.68,100,0,HARANGI-2011-01-19
210,Harangi,2011,3,2011-01-20,3.93,2837.76,112,0,HARANGI-2011-01-20
211,Harangi,2011,3,2011-01-21,3.94,2837.83,100,0,HARANGI-2011-01-21
291,Harangi,2011,4,2011-01-22,3.95,2837.87,64,0,HARANGI-2011-01-22
292,Harangi,2011,4,2011-01-23,3.95,2837.94,100,0,HARANGI-2011-01-23
293,Harangi,2011,4,2011-01-24,3.96,2838.01,100,0,HARANGI-2011-01-24
294,Harangi,2011,4,2011-01-25,3.97,2838.06,76,0,HARANGI-2011-01-25
295,Harangi,2011,4,2011-01-26,3.98,2838.16,74,0,HARANGI-2011-01-26
296,Harangi,2011,4,2011-01-27,3.98,2838.16,74,0,HARANGI-2011-01-27
297,Harangi,2011,4,2011-01-28,3.98,2838.20,64,0,HARANGI-2011-01-28
382,Harangi,2011,5,2011-01-29,3.99,2838.27,100,0,HARANGI-2011-01-29
383,Harangi,2011,5,2011-01-30,3.99,2838.32,76,0,HARANGI-2011-01-30
384,Harangi,2011,5,2011-01-31,4,2838.36,64,0,HARANGI-2011-01-31
385,Harangi,2011,5,2011-02-01,4,2838.40,64,0,HARANGI-2011-02-01
386,Harangi,2011,5,2011-02-02,4,2838.44,64,0,HARANGI-2011-02-02
387,Harangi,2011,5,2011-02-03,4.01,2838.48,64,0,HARANGI-2011-02-03
388,Harangi,2011,5,2011-02-04,4.01,2838.51,52,0,HARANGI-2011-02-04
473,Harangi,2011,6,2011-02-05,4.02,2838.55,64,0,HARANGI-2011-02-05
474,Harangi,2011,6,2011-02-06,4.02,2838.58,52,0,HARANGI-2011-02-06
475,Harangi,2011,6,2011-02-07,4.02,2838.61,52,0,HARANGI-2011-02-07
476,Harangi,2011,6,2011-02-08,4.03,2838.65,64,0,HARANGI-2011-02-08
477,Harangi,2011,6,2011-02-09,4.03,2838.69,64,0,HARANGI-2011-02-09
478,Harangi,2011,6,2011-02-10,4.03,2838.72,52,0,HARANGI-2011-02-10
479,Harangi,2011,6,2011-02-11,4.04,2838.74,40,0,HARANGI-2011-02-11
564,Harangi,2011,7,2011-02-12,4.04,2838.77,52,0,HARANGI-2011-02-12
565,Harangi,2011,7,2011-02-13,4.04,2838.79,39,0,HARANGI-2011-02-13
566,Harangi,2011,7,2011-02-14,4.04,2838.81,41,0,HARANGI-2011-02-14
567,Harangi,2011,7,2011-02-15,4.05,2838.83,40,0,HARANGI-2011-02-15
568,Harangi,2011,7,2011-02-16,4.05,2838.86,52,0,HARANGI-2011-02-16
569,Harangi,2011,7,2011-02-17,4.05,2838.90,64,0,HARANGI-2011-02-17
570,Harangi,2011,7,2011-02-18,4.05,2838.91,28,0,HARANGI-2011-02-18
655,Harangi,2011,8,2011-02-19,4.06,2838.94,52,0,HARANGI-2011-02-19
656,Harangi,2011,8,2011-02-20,4.06,2838.97,52,0,HARANGI-2011-02-20
657,Harangi,2011,8,2011-02-21,4.06,2838.99,40,0,HARANGI-2011-02-21
658,Harangi,2011,8,2011-02-22,4.07,2839.02,52,0,HARANGI-2011-02-22
659,Harangi,2011,8,2011-02-23,4.07,2839.04,40,0,HARANGI-2011-02-23
660,Harangi,2011,8,2011-02-24,4.07,2839.06,40,0,HARANGI-2011-02-24
661,Harangi,2011,8,2011-02-25,4.08,2839.13,100,0,HARANGI-2011-02-25
746,Harangi,2011,9,2011-02-26,4.10,2839.33,256,0,HARANGI-2011-02-26
747,Harangi,2011,9,2011-02-27,4.10,2839.35,40,0,HARANGI-2011-02-27
748,Harangi,2011,9,2011-02-28,4.10,2839.36,28,0,HARANGI-2011-02-28
749,Harangi,2011,9,2011-03-01,4.10,2839.39,52,0,HARANGI-2011-03-01
750,Harangi,2011,9,2011-03-02,4.11,2839.41,40,0,HARANGI-2011-03-02
751,Harangi,2011,9,2011-03-03,4.11,2839.41,22,0,HARANGI-2011-03-03
752,Harangi,2011,9,2011-03-04,4.11,2839.42,34,0,HARANGI-2011-03-04
